location,substrate,type,IIIa-tot,IIIb-tot,IIIc-tot,Iia-tot,Iib-tot,Iic-tot,brGDGT-Ia,brGDGT-Ib,brGDGT-Ic,SUMBR,FR.TETR,FR.PEN,FR.HEX,NoRINGStetra,NoRINGSpenta,NoRINGSpenta5,NoRINGSpenta6,IRpenta,IRhexa,,Iia,Iia',Iib,Iib',Iic,Iic',IIIa,IIIa',IIIb,IIIb',IIIc,IIIc'
India,Lignite,Paleogene,0,0,0,337122,0,0,11823487,789075,72793,13022476.77,97.41,2.59,0.00,0.07,0.00,0.00,0.00,0.82,,,59892,277231,0,0,0,0,0,0,0,0,0,0
India,Lignite,Paleogene,0,0,0,2575928,0,0,44035726,6450949,152757,53215359.06,95.16,4.84,0.00,0.13,0.00,0.00,0.00,0.92,,,201400,2374528,0,0,0,0,0,0,0,0,0,0
India,Lignite,Paleogene,0,0,0,730024,0,0,10444038,1877099,150469,13201630.91,94.47,5.53,0.00,0.17,0.00,0.00,0.00,0.75,,,183898,546126,0,0,0,0,0,0,0,0,0,0
India,Lignite,Paleogene,0,0,0,1797441,0,0,37708150,2486270,261106,42252966.88,95.75,4.25,0.00,0.07,0.00,0.00,0.00,0.52,,,870186,927255,0,0,0,0,0,0,0,0,0,0
ACEX,shelf sediment,Paleogene,0.12,0.00,0.00,0.17,0.02,0.00,0.61,0.06,0.02,1.00,69.00,19.00,12.00,0.14,0.11,0.07,0.25,0.21,0.33,,0.14,0.03,0.01,0.01,0,0,0.08,0.04,0,0,0,0
ACEX,shelf sediment,Paleogene,0.10,0.00,0.00,0.17,0.02,0.00,0.64,0.06,0.03,1.02,71.57,18.63,9.80,0.16,0.11,0.07,0.25,0.21,0.30,,0.14,0.03,0.01,0.01,0,0,0.07,0.03,0,0,0,0
ACEX,shelf sediment,Paleogene,0.11,0.00,0.00,0.18,0.00,0.00,0.71,0,0,1.00,71.00,18.00,11.00,0.00,0.00,0.00,0.00,0.17,0.36,,0.15,0.03,0,0,0,0,0.07,0.04,0,0,0,0
ACEX,shelf sediment,Paleogene,0.11,0.00,0.00,0.21,0.03,0.01,0.55,0.07,0.03,1.01,64.36,24.75,10.89,0.20,0.20,0.20,0.20,0.20,0.27,,0.17,0.04,0.02,0.01,0.01,0,0.08,0.03,0,0,0,0
ACEX,shelf sediment,Paleogene,0.09,0.00,0.00,0.19,0.03,0.00,0.61,0.06,0.03,1.01,69.31,21.78,8.91,0.17,0.14,0.12,0.20,0.23,0.33,,0.15,0.04,0.02,0.01,0,0,0.06,0.03,0,0,0,0
ACEX,shelf sediment,Paleogene,0.09,0.00,0.00,0.17,0.02,0.00,0.65,0.06,0.02,1.01,72.28,18.81,8.91,0.14,0.11,0.07,0.25,0.21,0.33,,0.14,0.03,0.01,0.01,0,0,0.06,0.03,0,0,0,0
ACEX,shelf sediment,Paleogene,0.09,0.00,0.00,0.15,0.00,0.00,0.68,0.05,0.02,0.99,75.76,15.15,9.09,0.12,0.00,0.00,0.00,0.20,0.33,,0.12,0.03,0,0,0,0,0.06,0.03,0,0,0,0
ACEX,shelf sediment,Paleogene,0.13,0.00,0.00,0.14,0.02,0.00,0.65,0.04,0.01,0.99,70.71,16.16,13.13,0.09,0.13,0.09,0.20,0.31,0.31,,0.1,0.04,0.01,0.01,0,0,0.09,0.04,0,0,0,0
ACEX,shelf sediment,Paleogene,0.07,0.00,0.00,0.15,0.01,0.00,0.68,0.06,0.03,1.00,77.00,16.00,7.00,0.16,0.06,0.08,0.00,0.19,0.43,,0.12,0.03,0.01,0,0,0,0.04,0.03,0,0,0,0
ACEX,shelf sediment,Paleogene,0.08,0.00,0.00,0.16,0.02,0.00,0.68,0.05,0.02,1.01,74.26,17.82,7.92,0.12,0.11,0.07,0.25,0.22,0.50,,0.13,0.03,0.01,0.01,0,0,0.04,0.04,0,0,0,0
ACEX,shelf sediment,Paleogene,0.07,0.00,0.00,0.16,0.02,0.00,0.67,0.06,0.03,1.01,75.25,17.82,6.93,0.16,0.11,0.13,0.00,0.17,0.43,,0.13,0.03,0.02,0,0,0,0.04,0.03,0,0,0,0
ACEX,shelf sediment,Paleogene,0.07,0.00,0.00,0.15,0.02,0.00,0.68,0.06,0.03,1.01,76.24,16.83,6.93,0.16,0.12,0.08,0.25,0.24,0.43,,0.12,0.03,0.01,0.01,0,0,0.04,0.03,0,0,0,0
ACEX,shelf sediment,Paleogene,0.07,0.00,0.00,0.15,0.03,0.00,0.66,0.06,0.03,1.00,75.00,18.00,7.00,0.16,0.17,0.14,0.25,0.22,0.43,,0.12,0.03,0.02,0.01,0,0,0.04,0.03,0,0,0,0
ACEX,shelf sediment,Paleogene,0.09,0.00,0.00,0.19,0.02,0.00,0.62,0.06,0.03,1.01,70.30,20.79,8.91,0.17,0.10,0.06,0.25,0.19,0.33,,0.16,0.03,0.01,0.01,0,0,0.06,0.03,0,0,0,0
ACEX,shelf sediment,Paleogene,0.09,0.00,0.00,0.17,0.02,0.00,0.63,0.06,0.03,1.00,72.00,19.00,9.00,0.17,0.11,0.06,0.33,0.16,0.22,,0.15,0.02,0.01,0.01,0,0,0.07,0.02,0,0,0,0
ACEX,shelf sediment,Paleogene,0.08,0.00,0.00,0.13,0.03,0.00,0.67,0.06,0.02,0.99,75.76,16.16,8.08,0.13,0.19,0.17,0.25,0.25,0.38,,0.1,0.03,0.02,0.01,0,0,0.05,0.03,0,0,0,0
ACEX,shelf sediment,Paleogene,0.11,0.00,0.00,0.15,0.03,0.00,0.62,0.06,0.02,0.99,70.71,18.18,11.11,0.14,0.17,0.14,0.25,0.22,0.27,,0.12,0.03,0.02,0.01,0,0,0.08,0.03,0,0,0,0
ACEX,shelf sediment,Paleogene,0.09,0.00,0.00,0.12,0.02,0.00,0.69,0.06,0.02,1.00,77.00,14.00,9.00,0.13,0.14,0.09,0.33,0.21,0.33,,0.1,0.02,0.01,0.01,0,0,0.06,0.03,0,0,0,0
ACEX,shelf sediment,Paleogene,0.08,0.00,0.00,0.16,0.02,0.00,0.66,0.05,0.02,0.99,73.74,18.18,8.08,0.12,0.11,0.07,0.25,0.22,0.25,,0.13,0.03,0.01,0.01,0,0,0.06,0.02,0,0,0,0
ACEX,shelf sediment,Paleogene,0.10,0.00,0.00,0.15,0.03,0.00,0.66,0.05,0.02,1.01,72.28,17.82,9.90,0.12,0.17,0.14,0.25,0.22,0.30,,0.12,0.03,0.02,0.01,0,0,0.07,0.03,0,0,0,0
ACEX,shelf sediment,Paleogene,0.10,0.00,0.00,0.18,0.00,0.00,0.71,0,0,0.99,71.72,18.18,10.10,0.00,0.00,0.00,0.00,0.22,0.30,,0.14,0.04,0,0,0,0,0.07,0.03,0,0,0,0
ACEX,shelf sediment,Paleogene,0.16,0.00,0.00,0.16,0.03,0.00,0.58,0.06,0.02,1.01,65.35,18.81,15.84,0.15,0.16,0.14,0.20,0.26,0.25,,0.12,0.04,0.02,0.01,0,0,0.12,0.04,0,0,0,0
ACEX,shelf sediment,Paleogene,0.19,0.00,0.00,0.14,0.00,0.00,0.67,0,0,1.00,67.00,14.00,19.00,0.00,0.00,0.00,,0.00,0.32,,0.14,0,0,0,0,0,0.13,0.06,0,0,0,0
ACEX,shelf sediment,Paleogene,0.16,0.00,0.00,0.15,0.03,0.00,0.58,0.06,0.03,1.01,66.34,17.82,15.84,0.18,0.17,0.15,0.20,0.28,0.25,,0.11,0.04,0.02,0.01,0,0,0.12,0.04,0,0,0,0
ACEX,shelf sediment,Paleogene,0.10,0.00,0.00,0.18,0.03,0.01,0.58,0.07,0.03,1.00,68.00,22.00,10.00,0.19,0.23,0.22,0.25,0.18,0.30,,0.15,0.03,0.02,0.01,0.01,0,0.07,0.03,0,0,0,0
ACEX,shelf sediment,Paleogene,0.11,0.00,0.00,0.20,0.02,0.00,0.58,0.07,0.03,1.01,67.33,21.78,10.89,0.19,0.09,0.11,0.00,0.14,0.27,,0.17,0.03,0.02,0,0,0,0.08,0.03,0,0,0,0
ACEX,shelf sediment,Paleogene,0.16,0.00,0.00,0.18,0.00,0.00,0.6,0.06,0,1.00,66.00,18.00,16.00,0.09,0.00,0.00,0.00,0.17,0.44,,0.15,0.03,0,0,0,0,0.09,0.07,0,0,0,0
