Hole,Depth (c. mbsf ,Core (-R),Section (-W),Interval (top),Interval (bottom),Dage,Open,Spinif,Cribro,Cleisto,Proxgap,Aliso,Glaph,Ennead,Wetzel,Palaeop,Spinvozz,Defl,Phthano,Seneg,Gonio,Protop,Thermo,Endemic,Terr,,,,
1172A,447.85,48,5,85,87,42.66,1.1,0.4,1.1,0.0,0.0,0.0,0.0,62.5,0.0,,1.8,31.6,0.4,0.4,0.4,0.0,0.4,96.8,0.0,,,,
1172A,449.35,48,6,85,87,42.80,0.9,0.5,0.5,0.0,0.5,0.0,0.0,58.5,0.0,,1.4,37.3,0.2,0.0,0.5,0.0,0.5,97.9,0.7,,,,
1172A,451.45,49,1,85,87,43.00,2.7,1.0,2.3,0.0,0.3,0.3,0.0,38.7,0.0,,13.0,34.3,2.3,0.3,0.0,0.0,0.0,90.7,0.7,,,,
1172A,452.95,49,2,85,87,43.14,3.9,2.2,4.7,0.0,0.3,0.0,0.0,20.8,0.0,,5.8,54.3,0.3,0.0,0.0,0.0,0.0,89.8,0.3,,,,
1172A,454.45,49,3,85,87,43.28,4.3,2.4,5.5,0.0,1.6,0.0,0.0,7.9,0.0,,22.5,44.7,0.4,0.0,4.7,2.0,4.7,77.9,3.4,,,,
1172A,455.95,49,4,85,87,43.43,7.7,6.4,0.4,0.0,1.7,0.0,0.0,4.3,0.0,,32.8,45.1,0.4,0.4,3.8,0.0,3.8,80.0,0.0,,,,
1172A,457.45,49,5,85,87,43.48,4.2,2.3,0.5,0.0,0.5,0.0,0.0,1.4,0.0,,36.6,50.9,0.9,2.8,0.9,0.0,0.9,88.9,2.3,,,,
1172A,458.95,49,6,85,87,43.53,6.2,4.7,2.7,0.0,0.4,0.0,0.0,29.5,0.0,,1.2,56.2,0.0,0.4,0.8,0.0,0.8,70.9,3.4,,,,
1172A,470.61,51,1,81,83,43.91,2.9,0.4,4.1,0.0,1.2,0.0,0.0,20.8,0.8,,2.0,56.3,2.4,0.4,6.5,0.8,7.3,86.5,3.2,,,,
1172A,472.15,51,2,85,87,43.96,6.9,3.2,0.5,0.0,1.4,0.0,0.0,8.7,0.0,,12.4,58.7,1.4,7.3,0.5,0.5,0.5,78.0,0.0,,,,
1172A,473.65,51,3,85,87,44.01,2.3,0.9,0.5,0.0,1.9,0.0,0.0,18.1,0.0,,8.8,59.1,2.8,4.2,0.0,0.5,0.0,86.0,1.8,,,,
1172A,475.15,51,4,85,87,44.06,1.4,1.1,0.0,0.0,0.0,0.0,0.0,3.6,0.0,,7.9,82.7,1.1,1.8,0.4,0.0,0.4,92.8,3.1,,,,
1172A,480.25,52,1,85,87,44.22,5.9,5.0,2.7,0.0,0.9,0.0,0.0,24.0,0.0,,7.2,39.4,2.7,4.5,4.1,0.9,4.1,64.3,0.0,,,,
